icc_2k,icc_3k,cronbach_alpha,cv,sd,range,mean,n_attempts,agent_id,score_name,section_id,score_type
0.8421052631578947,0.6296296296296297,0.8125,11.76470588235294,0.5,1.0,4.25,4,0000,Agreeableness,BFI-10,trait
0.27118644067796616,0.5163104611923509,0.0,4.948939734902199,1.8929694486000912,4.0,38.25,4,0000,CE_total,BES-A,total
0.6464646464646464,0.36131386861313863,0.453125,20.70091063830222,0.8539125638299665,2.0,4.125,4,0000,Conscientiousness,BFI-10,trait
0.6666666666666667,0.34426229508196726,0.5,23.328473740792173,0.816496580927726,2.0,3.5,4,0000,Extraversion,BFI-10,trait
0.9411764705882353,0.7674418604651163,0.9375,10.497277621629559,0.28867513459481287,0.5,2.75,4,0000,Neuroticism,BFI-10,trait
0.8533333333333333,0.6126760563380282,0.828125,13.205891141466733,0.47871355387816905,1.0,3.625,4,0000,Openness,BFI-10,trait
0.5925925925925926,0.7936210131332083,0.3125,2.7161052702307464,0.9574271077563381,2.0,35.25,4,0000,RA_total,REI,total
0.7272727272727273,0.4444444444444444,0.625,17.67766952966369,0.7071067811865476,1.5,4.0,4,0001,Agreeableness,BFI-10,trait
0.5714285714285714,0.7894736842105263,0.25,2.666666666666667,1.0,2.0,37.5,4,0001,CE_total,BES-A,total
0.8888888888888888,0.7297297297297298,0.875,9.07218423253029,0.408248290463863,1.0,4.5,4,0001,Conscientiousness,BFI-10,trait
0.9552238805970149,0.8611111111111112,0.953125,6.451612903225806,0.25,0.5,3.875,4,0001,Extraversion,BFI-10,trait
1.0,1.0,1.0,0.0,0.0,0.0,3.0,4,0001,Neuroticism,BFI-10,trait
0.8533333333333333,0.6126760563380282,0.828125,13.205891141466733,0.47871355387816905,1.0,3.625,4,0001,Openness,BFI-10,trait
0.5925925925925926,0.8066783831282953,0.3125,2.503077405898923,0.9574271077563381,2.0,38.25,4,0001,RA_total,REI,total
0.7710843373493976,0.5249999999999999,0.703125,14.380637019563332,0.6291528696058958,1.5,4.375,4,0002,Agreeableness,BFI-10,trait
0.3137254901960784,0.5673671199011125,0.0,4.464902294535773,1.707825127659933,4.0,38.25,4,0002,CE_total,BES-A,total
0.8533333333333333,0.6686746987951807,0.828125,10.350563327095546,0.47871355387816905,1.0,4.625,4,0002,Conscientiousness,BFI-10,trait
0.8888888888888888,0.6774193548387097,0.875,11.664236870396087,0.408248290463863,1.0,3.5,4,0002,Extraversion,BFI-10,trait
0.8,0.375,0.75,28.867513459481287,0.5773502691896257,1.0,2.0,4,0002,Neuroticism,BFI-10,trait
0.9411764705882353,0.7674418604651163,0.9375,10.497277621629559,0.28867513459481287,0.5,2.75,4,0002,Openness,BFI-10,trait
0.09756097560975618,0.22836287799791455,0.0,9.621601600778758,3.5118845842842465,7.0,36.5,4,0002,RA_total,REI,total
0.9411764705882353,0.8507462686567164,0.9375,6.077371254627639,0.28867513459481287,0.5,4.75,4,0003,Agreeableness,BFI-10,trait
0.2857142857142857,0.5327102803738317,0.0,4.804583837764615,1.8257418583505538,4.0,38.0,4,0003,CE_total,BES-A,total
0.6464646464646464,0.36131386861313863,0.453125,20.70091063830222,0.8539125638299665,2.0,4.125,4,0003,Conscientiousness,BFI-10,trait
0.8533333333333333,0.6126760563380282,0.828125,13.205891141466733,0.47871355387816905,1.0,3.625,4,0003,Extraversion,BFI-10,trait
0.8533333333333333,0.5338983050847458,0.828125,18.23670681440644,0.47871355387816905,1.0,2.625,4,0003,Neuroticism,BFI-10,trait
0.9411764705882353,0.7959183673469388,0.9375,8.88231183368655,0.28867513459481287,0.5,3.25,4,0003,Openness,BFI-10,trait
0.8421052631578947,0.935483870967742,0.8125,1.3793103448275863,0.5,1.0,36.25,4,0003,RA_total,REI,total
0.9552238805970149,0.8809523809523809,0.953125,5.405405405405405,0.25,0.5,4.625,4,0004,Agreeableness,BFI-10,trait
0.21333333333333326,0.43105110896817744,0.0,5.952632973445222,2.217355782608345,5.0,37.25,4,0004,CE_total,BES-A,total
0.9552238805970149,0.8863636363636364,0.953125,5.128205128205128,0.25,0.5,4.875,4,0004,Conscientiousness,BFI-10,trait
0.8888888888888888,0.6774193548387097,0.875,11.664236870396087,0.408248290463863,1.0,3.5,4,0004,Extraversion,BFI-10,trait
0.7032967032967032,0.27419354838709675,0.578125,35.294117647058826,0.75,1.5,2.125,4,0004,Neuroticism,BFI-10,trait
0.8533333333333333,0.6126760563380282,0.828125,13.205891141466733,0.47871355387816905,1.0,3.625,4,0004,Openness,BFI-10,trait
0.3999999999999999,0.6551724137931034,0.0,3.7216146378239348,1.4142135623730951,3.0,38.0,4,0004,RA_total,REI,total
0.9552238805970149,0.8809523809523809,0.953125,5.405405405405405,0.25,0.5,4.625,4,0005,Agreeableness,BFI-10,trait
0.5925925925925926,0.7981651376146789,0.3125,2.6411782282933465,0.9574271077563381,2.0,36.25,4,0005,CE_total,BES-A,total
0.7272727272727273,0.4736842105263158,0.625,15.713484026367725,0.7071067811865476,1.5,4.5,4,0005,Conscientiousness,BFI-10,trait
0.9552238805970149,0.8333333333333334,0.953125,8.0,0.25,0.5,3.125,4,0005,Extraversion,BFI-10,trait
0.8533333333333333,0.5338983050847458,0.828125,18.23670681440644,0.47871355387816905,1.0,2.625,4,0005,Neuroticism,BFI-10,trait
0.7710843373493976,0.4411764705882353,0.703125,20.132891827388665,0.6291528696058958,1.5,3.125,4,0005,Openness,BFI-10,trait
0.2857142857142857,0.5260663507109005,0.0,4.934437455001497,1.8257418583505538,4.0,37.0,4,0005,RA_total,REI,total
